1000	1050	577
1050	1100	879
1100	1150	964
1150	1200	1037
1200	1250	964
1250	1300	944
1300	1350	857
1350	1400	788
1400	1450	693
1450	1500	687
1500	1550	654
1550	1600	599
1600	1650	577
1650	1700	529
1700	1750	486
1750	1800	427
1800	1850	394
1850	1900	372
1900	1950	371
1950	2000	336
2000	2050	316
2050	2100	295
2100	2150	255
2150	2200	271
2200	2250	245
2250	2300	217
2300	2350	174
2350	2400	218
2400	2450	201
2450	2500	178
2500	2550	176
2550	2600	157
2600	2650	162
2650	2700	147
2700	2750	121
2750	2800	128
2800	2850	120
2850	2900	128
2900	2950	100
2950	3000	100
